n_predictions,mae,mse,rmse,mape,smape,rmsle,mean_forecast_error,median_absolute_error,direction_accuracy,up_accuracy,down_accuracy,pearson_corr,spearman_corr,hit_ratio,information_coefficient,pred_up_fraction,actual_up_fraction,low_sample_warning,direction_bias_warning,reliability_notes,model,horizon
280,14.078306993756975,303.0632131468304,17.408710841036747,4.806247869928822,4.818272153044199,0.0584895434068621,-0.6036706107003389,12.398005294799788,53.57142857142857,52.20588235294118,54.861111111111114,0.8711238583370389,0.8634520331420972,53.57142857142857,0.0137188376269849,48.57142857142857,48.57142857142857,False,False,[],Moving Average (20d),14
600,17.95197435506185,509.5634798040477,22.573512792741134,6.099471707144615,6.143269695181581,0.07620099230357852,-3.3059663645426474,15.157242584228527,54.0,49.49832775919732,58.666666666666664,0.8065186309661662,0.7904999824243231,54.0,0.04100736618753759,45.5,49.833333333333336,False,False,[],Moving Average (20d),30
20,10.52034894867806,150.87439068780662,12.283093693683469,3.7123713896530455,3.7097411209952176,0.04349967511840729,0.3026630561095615,9.435740075407793,55.00000000000001,50.0,57.14285714285714,0.9422572932372274,0.9157894736842105,55.00000000000001,0.2300751879699248,45.0,30.0,True,False,['only 20 predictions -- direction accuracy could plausibly be anywhere from 33% to 77%'],Linear Regression,1
60,10.635210015886761,167.72050882615636,12.95069530280735,3.6736557989175274,3.6795884751858154,0.045171436527444396,0.4134017642113591,9.087430749235907,53.333333333333336,50.0,55.55555555555556,0.93923506487195,0.923701028063351,53.333333333333336,0.08935815504306753,46.666666666666664,40.0,False,False,[],Linear Regression,3
100,11.38066019770891,190.9743842499381,13.819348184698804,3.933684774447049,3.9295468202231976,0.04787455335520725,1.0522410582506532,9.757766033263493,54.0,51.21951219512195,55.932203389830505,0.9302917330389094,0.9264326432643263,54.0,0.1160996099609961,47.0,41.0,False,False,[],Linear Regression,5
140,12.396956488088268,226.25137143996687,15.041654544629287,4.316705451026428,4.297783349277395,0.05232238337592802,1.7965227263831425,10.801737176602458,50.71428571428571,50.79365079365079,50.649350649350644,0.9160866513403091,0.9238622858266722,50.71428571428571,0.030019024294242424,50.0,45.0,False,False,[],Linear Regression,7
280,14.884609568055605,336.0684019679985,18.33216850151663,5.120178082107843,5.1094191656046295,0.0627800382513818,2.022395885229106,12.003573155242009,52.85714285714286,57.35294117647059,48.61111111111111,0.8806196618935771,0.9021521241081997,52.85714285714286,0.061746232185906164,54.285714285714285,48.57142857142857,False,False,[],Linear Regression,14
600,20.422562078919192,629.7110366484492,25.09404384806182,6.996098159116391,6.996199282059375,0.08654345972695908,0.6100137024511685,17.313521109204004,51.83333333333333,53.17725752508361,50.66666666666667,0.8034347419975647,0.825060718582417,51.83333333333333,0.04415390042750118,51.33333333333333,49.833333333333336,False,False,[],Linear Regression,30
20,3.6294507442986204,28.74454632957002,5.361394065872235,1.2693661731661732,1.2612686435303364,0.01847313320612942,1.2969831553437245,1.666595654282787,55.00000000000001,66.66666666666666,50.0,0.9866934602813059,0.9849624060150375,55.00000000000001,0.10977443609022557,55.00000000000001,30.0,True,False,['only 20 predictions -- direction accuracy could plausibly be anywhere from 33% to 77%'],"ARIMA(5,1,0)",1
60,5.447220738769658,53.28258084291642,7.299491820867835,1.9164325119445949,1.9099321961569666,0.025788675486822305,1.2444464027908704,3.7854792632028023,45.0,58.333333333333336,36.11111111111111,0.9738993717619094,0.968657960544596,45.0,-0.07096415671019729,61.66666666666667,40.0,False,False,[],"ARIMA(5,1,0)",3
